Item,Code,Price per 10000 milliliter ($),5/25/2020,5/31/2020,"6/22/2020
","7/1/2020
","8/1/2020
","9/1/2020
"
Cuvee Arbequina/Picual Extra Virgin Olive Oil ( Mild Oil from California),IOG593,71.5,3805,12955,5345,2715,10000,0.0
Favolosa Seasonal Extra Virgin Olive Oil (Robust from Chile),IOO302,75.0,0,0,0,0,0,0
Hojiblanca Melgarejo Extra Virgin Olive Oil ( Robust Oil from Spain),IOO579,77.5,3976,11766,7856,11796,4476,0.0
Koroneiki Seasonal Extra Virgin Olive Oil (Robust from Chile),IOO151,75.0,0,0,0,0,10000,9130.0
Oro Bailen Picual Extra Virgin Olive Oil ( Medium Oil from Spain),IOO100,76.2,17424,14624,10734,9304,340,0.0
Picholine Seasonal Extra Virgin Olive Oil (Medium from Australia),IOO090,80.0,0,0,0,0,0,0.0
Picual Seasonal Extra Virgin Olive Oil (Medium from Chile),IOO322,75.0,0,0,0,0,10000,13480.0
Black Truffle Extra Virgin Specialty Olive Oil,IOO377,211.0,1174,10334,7614,16314,12234,6404.0
Roasted California Walnut Oil,IOL304,145.0,12380,11920,9090,18390,14330,9150.0
White Truffle Extra Virgin Specialty Olive Oil,IOO379,325.0,13158,13018,9978,6988,11958,15168.0
Baklouti Green Chili Agrumato Fused Extra Virgin Olive Oil,IOO996,110.0,9092,7522,12882,9122,7312,15262.0
Blood Orange Agrumato Fused Extra Virgin Olive Oil,IOO434,100.0,14375,10935,17155,24115,7945,6185.0
Butter Infused Extra Virgin Olive Oil,IOO934,82.0,3623,14363,9273,9333,15743,83.0
Cayenne Agrumato Fused Whole Pepper Olive Oil,IOO978,120.0,8416,7946,5376,13576,8796,14266.0
Chipotle Chili Fused Extra Virgin Olive Oil,IOO900,82.0,12285,10795,8955,16685,12295,4605.0
Cilantro & Roasted Onion Infused Extra Virgin Olive Oil,IOO987,82.0,1060,8880,14900,10680,9810,14510.0
Eureka Lemon Whole Fruit Fused Agrumato,IOO220,82.0,3306,8776,14026,24276,9370,10350.0
Garlic Infused Extra Virgin Olive Oil,IOO807,82.0,21775,45085,39025,45975,29905,28275.0
Harissa Infused Extra Virgin Olive Oil,IOO930,82.0,9803,9343,7023,16793,13933,6003.0
Herbs de Provence Infused Extra Virgin Olive Oil,IOO935,82.0,7213,5943,9463,16303,9313,9223.0
Madagascar Black Pepper Infused Extra Virgin Olive Oil,IOO968,82.0,12582,10042,8482,17012,12572,17142.0
Milanese Gremolata Infused Extra Virgin Olive Oil,IOO984,82.0,800,7810,1500,18400,14280,6300.0
Olive Wood Smoked Infused Extra Virgin Olive Oil,IOO592,82.0,4350,10330,8280,15610,17040,3380.0
Persian Lime Infused Extra Virgin Olive Oil,IOO836,90.0,7940,6100,20810,17740,7140,8420.0
Smoked Dried Chaabani Chili Infused Extra Virgin Olive Oil,IOO973,95.0,11264,11124,18800,18100,14870,9130.0
Tuscan Herb Infused Extra Virgin Olive Oil,IOO986,82.0,6591,24981,16921,34341,30000,22160.0
Whole Greek Oregano Fused Agrumato Olive Oil,IOO141,110.0,7356,6156,5856,5386,3596,1176.0
Wild Mushroom & Sage Infused Extra Virgin Olive Oil,IOO988,82.0,8406,6261,8206,15776,10916,11946.0
Wild Rosemary Agrumato Fused Extra Virgin Olive Oil,IOO983,90.0,10728,9923,11528,16548,15558,10868.0
Japanese Toasted Sesame Specialty Oil,IOO045,125.0,10324,10684,11334,16634,11814,1904.0
Basil Infused Extra Virgin Olive Oil,IOO201,82.0,1526,10746,11086,26116,15786,346.0
Coratina Seasonal Extra Virgin Olive Oil (Robust from Chile),IOO172,75.0,0,0,0,0,10000,14110.0
Black Currant Dark Balsamic Vinegar,MCH248,82.0,8945,7285,15485,14855,12315,14195.0
Alfoos Mango White Balsamic Vinegar,MCH266,72.0,10053,8553,6893,15323,8833,13633.0
Hojiblanca Extra Virgin Olive Oil ( Mild Oil from Australia),,,0,0,0,0,0,2280.0
